ts,run_id,lane,exp,model,effort,q,round,rc,seconds,chars
2026-06-11T20:43:43,s02-audit-fable-AUD-r06,2,audit,fable,default,AUD,6,0,401.88,14117
2026-06-11T20:44:00,s02-speed-fable-Q4-r10,2,speed,fable,default,Q4,10,0,17.04,113
2026-06-11T20:44:05,s02-pin-opus-Q1-r07,2,pin,opus,high,Q1,7,0,5.551,133
2026-06-11T20:44:19,s02-speed-fable-Q5-r09,2,speed,fable,default,Q5,9,0,13.703,17
2026-06-11T20:44:27,s02-pin-fable-Q1-r10,2,pin,fable,high,Q1,10,0,7.935,118
2026-06-11T20:44:34,s02-speed-fable-Q1-r02,2,speed,fable,default,Q1,2,0,6.923,163
2026-06-11T20:44:42,s02-pin-fable-Q1-r09,2,pin,fable,high,Q1,9,0,8.165,143
2026-06-11T20:45:00,s02-speed-fable-Q2-r01,2,speed,fable,default,Q2,1,0,18.305,306
2026-06-11T20:45:14,s02-audit-opus-AUD-r04,0,audit,opus,default,AUD,4,0,215.938,7455
2026-06-11T20:47:07,s02-audit-fable-AUD-r09,1,audit,fable,default,AUD,9,0,392.415,17351
2026-06-11T20:47:20,s02-speed-fable-Q4-r01,1,speed,fable,default,Q4,1,0,12.929,150
2026-06-11T20:47:26,s02-speed-opus-Q1-r05,1,speed,opus,default,Q1,5,0,6.57,134
2026-06-11T20:47:31,s02-speed-opus-Q1-r04,1,speed,opus,default,Q1,4,0,4.972,128
2026-06-11T20:47:51,s02-speed-fable-Q3-r07,1,speed,fable,default,Q3,7,0,19.755,44
2026-06-11T20:48:03,s02-speed-opus-Q3-r07,1,speed,opus,default,Q3,7,0,11.777,44
2026-06-11T20:48:11,s02-speed-opus-Q5-r08,1,speed,opus,default,Q5,8,0,8.519,76
2026-06-11T20:48:24,s02-speed-fable-Q4-r05,1,speed,fable,default,Q4,5,0,12.332,137
2026-06-11T20:48:45,s02-speed-fable-Q3-r03,1,speed,fable,default,Q3,3,0,21.475,40
2026-06-11T20:48:53,s02-speed-opus-Q4-r09,1,speed,opus,default,Q4,9,0,8.435,138
2026-06-11T20:48:58,s02-pin-opus-Q1-r01,1,pin,opus,high,Q1,1,0,4.946,132
2026-06-11T20:49:23,s02-speed-fable-Q3-r02,1,speed,fable,default,Q3,2,0,24.334,40
2026-06-11T20:49:42,s02-speed-fable-Q2-r05,1,speed,fable,default,Q2,5,0,19.143,321
2026-06-11T20:49:47,s02-speed-opus-Q1-r08,1,speed,opus,default,Q1,8,0,5.518,161
2026-06-11T20:50:02,s02-speed-fable-Q2-r08,1,speed,fable,default,Q2,8,0,14.269,342
2026-06-11T20:50:04,s02-audit-fable-AUD-r10,2,audit,fable,default,AUD,10,0,303.371,14300
2026-06-11T20:50:09,s02-pin-opus-Q1-r06,2,pin,opus,high,Q1,6,0,5.632,133
2026-06-11T20:50:20,s02-speed-opus-Q3-r02,2,speed,opus,default,Q3,2,0,10.441,44
2026-06-11T20:50:40,s02-speed-fable-Q3-r05,2,speed,fable,default,Q3,5,0,20.549,40
2026-06-11T20:52:03,s02-audit-fable-AUD-r03,0,audit,fable,default,AUD,3,0,409.707,15145
2026-06-11T20:52:08,s02-speed-opus-Q1-r09,0,speed,opus,default,Q1,9,0,5.186,133
2026-06-11T20:54:26,s02-audit-opus-AUD-r02,2,audit,opus,default,AUD,2,0,225.766,11129
2026-06-11T20:54:31,s02-pin-opus-Q1-r08,2,pin,opus,high,Q1,8,0,4.66,122
2026-06-11T20:54:40,s02-speed-fable-Q1-r01,2,speed,fable,default,Q1,1,0,9.04,176
2026-06-11T20:54:46,s02-pin-fable-Q1-r08,2,pin,fable,high,Q1,8,0,6.59,118
2026-06-11T20:54:54,s02-speed-opus-Q5-r01,2,speed,opus,default,Q5,1,0,7.624,40
2026-06-11T20:55:05,s02-speed-fable-Q4-r02,2,speed,fable,default,Q4,2,0,11.04,240
